FirstName,MiddleName,LastName,JobTitle,HireDate,EmailAddress,PhoneNumber
Maciej,W,Dusza,Production Technician - WC60,2010-01-29,maciej0@adventure-works.com,237-555-0128
Michael,J,Zwilling,Production Technician - WC60,2010-02-23,michael7@adventure-works.com,582-555-0148
Randy,T,Reeves,Production Technician - WC60,2010-02-23,randy0@adventure-works.com,961-555-0122
Karan,R,Khanna,Production Technician - WC60,2009-12-22,karan0@adventure-works.com,447-555-0186
Jay,G,Adams,Production Technician - WC60,2009-03-05,jay0@adventure-works.com,407-555-0165
Charles,B,Fitzgerald,Production Technician - WC60,2009-12-03,charles0@adventure-works.com,931-555-0118
Steve,F,Masters,Production Technician - WC60,2009-02-15,steve0@adventure-works.com,712-555-0170
David,J,Ortiz,Production Technician - WC60,2008-12-15,david2@adventure-works.com,712-555-0119
Michael,Sean,Ray,Production Supervisor - WC30,2009-02-15,michael3@adventure-works.com,156-555-0199
Steven,T,Selikoff,Production Technician - WC30,2008-12-01,steven0@adventure-works.com,925-555-0114
Carole,M,Poland,Production Technician - WC30,2008-12-19,carole0@adventure-works.com,688-555-0192
Bjorn,M,Rettig,Production Technician - WC30,2009-01-07,bjorn0@adventure-works.com,199-555-0117
Michiko,F,Osada,Production Technician - WC30,2009-01-26,michiko0@adventure-works.com,984-555-0148
Carol,M,Philips,Production Technician - WC30,2009-02-12,carol0@adventure-works.com,609-555-0153
Merav,A,Netz,Production Technician - WC30,2009-03-03,merav0@adventure-works.com,224-555-0187
Reuben,H,D'sa,Production Supervisor - WC40,2008-12-15,reuben0@adventure-works.com,191-555-0112
Eric,L,Brown,Production Technician - WC40,2010-01-24,eric1@adventure-works.com,680-555-0118
Sandeep,P,Kaliyath,Production Technician - WC40,2010-01-17,sandeep0@adventure-works.com,166-555-0156
Mihail,U,Frintu,Production Technician - WC40,2009-12-29,mihail0@adventure-works.com,733-555-0128
Jack,T,Creasey,Production Technician - WC40,2010-03-03,jack1@adventure-works.com,521-555-0113
Patrick,M,Cook,Production Technician - WC40,2010-02-12,patrick1@adventure-works.com,425-555-0117
Frank,R,Martinez,Production Technician - WC40,2010-02-05,frank3@adventure-works.com,203-555-0196
Brian,Richard,Goldstein,Production Technician - WC40,2009-12-11,brian2@adventure-works.com,730-555-0117
Ryan,L,Cornelsen,Production Technician - WC40,2009-01-05,ryan0@adventure-works.com,208-555-0114
Cristian,K,Petculescu,Production Supervisor - WC10,2008-12-22,cristian0@adventure-works.com,434-555-0133
Betsy,A,Stadick,Production Technician - WC10,2009-12-18,betsy0@adventure-works.com,405-555-0171
Patrick,C,Wedge,Production Technician - WC10,2010-02-01,patrick0@adventure-works.com,413-555-0124
Danielle,C,Tiedt,Production Technician - WC10,2010-02-20,danielle0@adventure-works.com,500-555-0172
Kimberly,B,Zimmerman,Production Technician - WC10,2010-01-12,kimberly0@adventure-works.com,123-555-0167
Tom,M,Vande Velde,Production Technician - WC10,2010-03-10,tom0@adventure-works.com,295-555-0161
Kok-Ho,T,Loh,Production Supervisor - WC50,2008-12-27,kok-ho0@adventure-works.com,999-555-0155
Russell,,Hunter,Production Technician - WC50,2008-12-12,russell0@adventure-works.com,786-555-0144
John,T,Campbell,Production Supervisor - WC60,2008-03-17,john0@adventure-works.com,435-555-0113
Diane,H,Tibbott,Production Technician - WC50,2009-01-18,diane2@adventure-works.com,361-555-0180
Pete,C,Male,Production Technician - WC50,2009-01-11,pete0@adventure-works.com,768-555-0123
Bob,N,Hohman,Production Technician - WC50,2008-12-24,bob0@adventure-works.com,611-555-0116
Kendall,C,Keil,Production Technician - WC50,2008-12-05,kendall0@adventure-works.com,138-555-0128
Frank,T,Miller,Production Technician - WC50,2009-02-23,frank1@adventure-works.com,167-555-0139
Denise,H,Smith,Production Technician - WC50,2009-02-05,denise0@adventure-works.com,869-555-0119
Taylor,R,Maxwell,Production Supervisor - WC50,2008-02-08,taylor0@adventure-works.com,508-555-0165
Bonnie,N,Kearney,Production Technician - WC10,2010-01-01,bonnie0@adventure-works.com,264-555-0150
Diane,R,Glimp,Production Technician - WC10,2008-03-28,diane0@adventure-works.com,202-555-0151
Doris,M,Hartwig,Production Technician - WC10,2008-03-10,doris0@adventure-works.com,328-555-0150
Jeffrey,L,Ford,Production Technician - WC10,2008-02-20,jeffrey0@adventure-works.com,984-555-0185
Sidney,M,Higa,Production Technician - WC10,2008-02-02,sidney0@adventure-works.com,424-555-0189
Barry,K,Johnson,Production Technician - WC10,2008-01-07,barry0@adventure-works.com,206-555-0180
Ruth,Ann,Ellerbrock,Production Technician - WC10,2008-01-06,ruth0@adventure-works.com,145-555-0130
Andrew,R,Hill,Production Supervisor - WC10,2009-02-22,andrew0@adventure-works.com,908-555-0159
Eugene,O,Kogan,Production Technician - WC60,2009-02-08,eugene1@adventure-works.com,173-555-0179
Thomas,R,Michaels,Production Technician - WC60,2009-02-26,thomas0@adventure-works.com,278-555-0118
Simon,D,Rapier,Production Technician - WC60,2008-12-08,simon0@adventure-works.com,963-555-0134
Nancy,A,Anderson,Production Technician - WC60,2009-01-02,nancy0@adventure-works.com,970-555-0118
James,D,Kramer,Production Technician - WC60,2008-12-27,james0@adventure-works.com,119-555-0117
Bryan,,Baker,Production Technician - WC60,2009-01-21,bryan0@adventure-works.com,712-555-0113
JoLynn,M,Dobney,Production Supervisor - WC60,2007-12-26,jolynn0@adventure-works.com,903-555-0145
Ed,R,Dudenhoefer,Production Technician - WC60,2010-02-05,ed0@adventure-works.com,919-555-0140
Kim,B,Abercrombie,Production Technician - WC60,2010-01-16,kim1@adventure-works.com,208-555-0114
Chris,O,Okelberry,Production Technician - WC60,2009-03-07,chris2@adventure-works.com,315-555-0144
Jose,R,Lugo,Production Technician - WC60,2009-02-10,jose0@adventure-works.com,587-555-0115
Brandon,G,Heidepriem,Production Technician - WC60,2009-02-08,brandon0@adventure-works.com,429-555-0137
Suchitra,O,Mohan,Production Technician - WC60,2009-02-16,suchitra0@adventure-works.com,753-555-0129
Annik,O,Stahl,Production Technician - WC60,2008-12-17,annik0@adventure-works.com,499-555-0125
Rebecca,A,Laszlo,Production Technician - WC60,2008-12-29,rebecca0@adventure-works.com,314-555-0113
Margie,W,Shoop,Production Technician - WC60,2009-01-04,margie0@adventure-works.com,818-555-0128
Britta,L,Simon,Production Technician - WC60,2009-01-29,britta0@adventure-works.com,955-555-0169
Mark,K,McArthur,Production Technician - WC60,2009-01-23,mark1@adventure-works.com,417-555-0154
Guy,R,Gilbert,Production Technician - WC60,2006-06-30,guy1@adventure-works.com,320-555-0195
Jo,A,Brown,Production Supervisor - WC60,2008-02-27,jo0@adventure-works.com,632-555-0129
Peter,J,Krebs,Production Control Manager,2008-12-01,peter0@adventure-works.com,913-555-0196
James,R,Hamilton,Vice President of Production,2009-02-03,james1@adventure-works.com,870-555-0122
Jill,A,Williams,Marketing Specialist,2009-01-18,jill0@adventure-works.com,510-555-0121
Mary,E,Gibson,Marketing Specialist,2009-01-12,mary0@adventure-works.com,531-555-0183
Sariya,E,Harnpadoungsataya,Marketing Specialist,2008-12-12,sariya0@adventure-works.com,399-555-0176
Terry,J,Eminhizer,Marketing Specialist,2009-03-02,terry0@adventure-works.com,138-555-0118
Wanida,M,Benshoof,Marketing Assistant,2011-01-07,wanida0@adventure-works.com,708-555-0141
Mary,A,Dempsey,Marketing Assistant,2011-02-14,mary2@adventure-works.com,124-555-0114
John,L,Wood,Marketing Specialist,2011-02-07,john5@adventure-works.com,486-555-0150
Kevin,F,Brown,Marketing Assistant,2007-01-26,kevin0@adventure-works.com,150-555-0189
David,M,Bradley,Marketing Manager,2007-12-20,david0@adventure-works.com,913-555-0172
Sharon,B,Salavaria,Design Engineer,2011-01-18,sharon0@adventure-works.com,970-555-0138
Michael,I,Sullivan,Senior Design Engineer,2010-12-30,michael8@adventure-works.com,465-555-0156
Janice,M,Galvin,Tool Designer,2010-12-23,janice0@adventure-works.com,473-555-0117
Thierry,B,D'Hers,Tool Designer,2007-12-11,thierry0@adventure-works.com,168-555-0183
Ovidiu,V,Cracium,Senior Tool Designer,2010-12-05,ovidiu0@adventure-works.com,719-555-0181
Michael,,Raheem,Research and Development Manager,2009-05-03,michael6@adventure-works.com,330-555-2568
Gigi,N,Matthew,Research and Development Engineer,2009-01-16,gigi0@adventure-works.com,185-555-0186
Diane,L,Margheim,Research and Development Engineer,2008-12-29,diane1@adventure-works.com,815-555-0138
Dylan,A,Miller,Research and Development Manager,2009-02-08,dylan0@adventure-works.com,181-555-0156
Jossef,H,Goldberg,Design Engineer,2008-01-24,jossef0@adventure-works.com,122-555-0189
Gail,A,Erickson,Design Engineer,2008-01-06,gail0@adventure-works.com,849-555-0139
Rob,,Walters,Senior Tool Designer,2007-12-05,rob0@adventure-works.com,612-555-0100
Roberto,,Tamburello,Engineering Manager,2007-11-11,roberto0@adventure-works.com,212-555-0187
Terri,Lee,Duffy,Vice President of Engineering,2008-01-31,terri0@adventure-works.com,819-555-0175
Ken,J,Sánchez,Chief Executive Officer,2009-01-14,ken0@adventure-works.com,697-555-0142
Jim,H,Scardelis,Production Technician - WC50,2008-12-19,jim0@adventure-works.com,679-555-0113
Elizabeth,I,Keyser,Production Technician - WC50,2009-03-02,elizabeth0@adventure-works.com,318-555-0137
Mandar,H,Samant,Production Technician - WC50,2009-02-10,mandar0@adventure-works.com,140-555-0132
Sameer,A,Tejani,Production Technician - WC50,2009-02-11,sameer0@adventure-works.com,990-555-0172
Nuan,,Yu,Production Technician - WC50,2009-01-06,nuan0@adventure-works.com,913-555-0184
Lolan,B,Song,Production Technician - WC50,2009-01-12,lolan0@adventure-works.com,582-555-0178
Houman,N,Pournasseh,Production Technician - WC50,2009-01-25,houman0@adventure-works.com,180-555-0136
Zheng,W,Mu,Production Supervisor - WC10,2008-12-03,zheng0@adventure-works.com,113-555-0173
Ebru,N,Ersan,Production Technician - WC10,2009-12-06,ebru0@adventure-works.com,202-555-0187
Mary,R,Baker,Production Technician - WC10,2009-12-25,mary1@adventure-works.com,283-555-0185
Kevin,M,Homer,Production Technician - WC10,2009-12-25,kevin2@adventure-works.com,555-555-0113
John,T,Kane,Production Technician - WC10,2010-02-27,john4@adventure-works.com,254-555-0114
Christopher,E,Hill,Production Technician - WC10,2010-02-08,christopher0@adventure-works.com,153-555-0166
Jinghao,K,Liu,Production Supervisor - WC50,2008-12-08,jinghao0@adventure-works.com,794-555-0159
Alice,O,Ciccu,Production Technician - WC50,2008-12-07,alice0@adventure-works.com,333-555-0173
Jun,T,Cao,Production Technician - WC50,2008-12-14,jun0@adventure-works.com,299-555-0113
Suroor,R,Fatima,Production Technician - WC50,2008-12-17,suroor0@adventure-works.com,932-555-0161
John,P,Evans,Production Technician - WC50,2009-01-01,john1@adventure-works.com,172-555-0130
Linda,K,Moschell,Production Technician - WC50,2008-12-25,linda0@adventure-works.com,612-555-0171
Mindaugas,J,Krapauskas,Production Technician - WC50,2009-01-13,mindaugas0@adventure-works.com,637-555-0120
Angela,W,Barbariol,Production Technician - WC50,2009-01-20,angela0@adventure-works.com,150-555-0194
Michael,W,Patten,Production Technician - WC50,2009-01-31,michael2@adventure-works.com,441-555-0195
